datetime,open,high,low,close,volume,option_symbol,expiry_date
2024-01-19 18:30:00,5.56,5.61,5.56,5.61,25,O:SPY240202C00480000,2024-02-02
2024-01-19 18:31:00,5.63,5.64,5.61,5.64,6,O:SPY240202C00480000,2024-02-02
2024-01-19 18:32:00,5.66,5.66,5.66,5.66,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:33:00,5.65,5.65,5.65,5.65,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:34:00,5.65,5.65,5.59,5.59,7,O:SPY240202C00480000,2024-02-02
2024-01-19 18:35:00,5.65,5.69,5.65,5.69,9,O:SPY240202C00480000,2024-02-02
2024-01-19 18:36:00,5.77,5.77,5.77,5.77,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:38:00,5.7,5.7,5.64,5.67,10,O:SPY240202C00480000,2024-02-02
2024-01-19 18:39:00,5.74,5.74,5.74,5.74,2,O:SPY240202C00480000,2024-02-02
2024-01-19 18:40:00,5.75,5.75,5.74,5.75,45,O:SPY240202C00480000,2024-02-02
2024-01-19 18:42:00,5.79,5.82,5.74,5.74,19,O:SPY240202C00480000,2024-02-02
2024-01-19 18:43:00,5.85,5.85,5.85,5.85,2,O:SPY240202C00480000,2024-02-02
2024-01-19 18:45:00,5.84,5.84,5.84,5.84,2,O:SPY240202C00480000,2024-02-02
2024-01-19 18:46:00,5.83,5.83,5.83,5.83,63,O:SPY240202C00480000,2024-02-02
2024-01-19 18:48:00,5.8,5.81,5.75,5.75,10,O:SPY240202C00480000,2024-02-02
2024-01-19 18:49:00,5.74,5.81,5.74,5.8,7,O:SPY240202C00480000,2024-02-02
2024-01-19 18:50:00,5.79,5.79,5.79,5.79,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:51:00,5.8,5.8,5.8,5.8,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:52:00,5.75,5.76,5.74,5.76,9,O:SPY240202C00480000,2024-02-02
2024-01-19 18:53:00,5.75,5.75,5.75,5.75,1,O:SPY240202C00480000,2024-02-02
2024-01-19 18:54:00,5.8,5.8,5.8,5.8,3,O:SPY240202C00480000,2024-02-02
2024-01-19 18:55:00,5.86,5.94,5.86,5.94,36,O:SPY240202C00480000,2024-02-02
2024-01-19 18:56:00,5.95,5.96,5.95,5.96,5,O:SPY240202C00480000,2024-02-02
2024-01-19 18:57:00,5.92,6.01,5.92,6.01,16,O:SPY240202C00480000,2024-02-02
2024-01-19 18:58:00,6.04,6.04,6.04,6.04,4,O:SPY240202C00480000,2024-02-02
2024-01-19 18:59:00,6.07,6.07,6.07,6.07,3,O:SPY240202C00480000,2024-02-02
2024-01-19 19:00:00,6.05,6.08,6.05,6.08,6,O:SPY240202C00480000,2024-02-02
2024-01-19 19:01:00,5.98,5.98,5.98,5.98,60,O:SPY240202C00480000,2024-02-02
2024-01-19 19:02:00,6.02,6.02,6.02,6.02,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:03:00,6.05,6.09,6.05,6.09,3,O:SPY240202C00480000,2024-02-02
2024-01-19 19:04:00,6.09,6.1,6.09,6.1,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:07:00,6.13,6.16,6.13,6.16,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:09:00,6.2,6.2,6.2,6.2,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:10:00,6.22,6.27,6.22,6.26,3,O:SPY240202C00480000,2024-02-02
2024-01-19 19:11:00,6.28,6.32,6.27,6.32,6,O:SPY240202C00480000,2024-02-02
2024-01-19 19:12:00,6.3,6.3,6.3,6.3,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:13:00,6.35,6.45,6.35,6.45,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:14:00,6.46,6.47,6.46,6.47,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:15:00,6.48,6.48,6.37,6.43,65,O:SPY240202C00480000,2024-02-02
2024-01-19 19:16:00,6.36,6.36,6.36,6.36,29,O:SPY240202C00480000,2024-02-02
2024-01-19 19:17:00,6.31,6.31,6.3,6.3,9,O:SPY240202C00480000,2024-02-02
2024-01-19 19:19:00,6.3,6.3,6.11,6.14,23,O:SPY240202C00480000,2024-02-02
2024-01-19 19:20:00,6.06,6.06,6.03,6.05,9,O:SPY240202C00480000,2024-02-02
2024-01-19 19:21:00,6.1,6.1,6.09,6.09,7,O:SPY240202C00480000,2024-02-02
2024-01-19 19:22:00,6.1,6.1,6.1,6.1,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:23:00,6.24,6.25,6.24,6.25,17,O:SPY240202C00480000,2024-02-02
2024-01-19 19:25:00,6.26,6.3,6.26,6.3,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:26:00,6.33,6.33,6.33,6.33,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:27:00,6.31,6.42,6.31,6.42,118,O:SPY240202C00480000,2024-02-02
2024-01-19 19:28:00,6.5,6.53,6.5,6.53,4,O:SPY240202C00480000,2024-02-02
2024-01-19 19:29:00,6.41,6.46,6.16,6.16,14,O:SPY240202C00480000,2024-02-02
2024-01-19 19:30:00,6.24,6.26,6.11,6.11,6,O:SPY240202C00480000,2024-02-02
2024-01-19 19:31:00,5.95,6.01,5.95,6.01,23,O:SPY240202C00480000,2024-02-02
2024-01-19 19:32:00,6.02,6.12,6.02,6.12,3,O:SPY240202C00480000,2024-02-02
2024-01-19 19:33:00,6.1,6.1,6.07,6.07,55,O:SPY240202C00480000,2024-02-02
2024-01-19 19:34:00,5.95,5.95,5.95,5.95,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:35:00,6.0,6.04,6.0,6.04,6,O:SPY240202C00480000,2024-02-02
2024-01-19 19:36:00,5.84,5.84,5.84,5.84,28,O:SPY240202C00480000,2024-02-02
2024-01-19 19:37:00,5.99,5.99,5.99,5.99,8,O:SPY240202C00480000,2024-02-02
2024-01-19 19:38:00,6.0,6.0,6.0,6.0,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:39:00,6.04,6.06,6.04,6.06,9,O:SPY240202C00480000,2024-02-02
2024-01-19 19:40:00,6.25,6.25,6.25,6.25,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:45:00,6.18,6.18,6.18,6.18,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:48:00,6.25,6.25,6.25,6.25,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:49:00,6.19,6.25,6.19,6.25,2,O:SPY240202C00480000,2024-02-02
2024-01-19 19:51:00,6.25,6.25,6.25,6.25,20,O:SPY240202C00480000,2024-02-02
2024-01-19 19:52:00,6.16,6.16,6.16,6.16,1,O:SPY240202C00480000,2024-02-02
2024-01-19 19:53:00,6.12,6.12,6.12,6.12,11,O:SPY240202C00480000,2024-02-02
2024-01-19 19:54:00,6.14,6.14,6.12,6.12,10,O:SPY240202C00480000,2024-02-02
2024-01-19 19:56:00,6.21,6.26,6.21,6.26,43,O:SPY240202C00480000,2024-02-02
2024-01-19 19:58:00,6.26,6.27,6.26,6.27,8,O:SPY240202C00480000,2024-02-02
2024-01-19 19:59:00,6.33,6.33,6.3,6.33,3,O:SPY240202C00480000,2024-02-02
2024-01-19 20:00:00,6.32,6.32,6.31,6.31,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:03:00,6.36,6.4,6.36,6.4,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:04:00,6.46,6.46,6.45,6.45,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:05:00,6.39,6.39,6.36,6.36,4,O:SPY240202C00480000,2024-02-02
2024-01-19 20:08:00,6.42,6.42,6.35,6.35,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:09:00,6.29,6.29,6.29,6.29,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:10:00,6.23,6.23,6.23,6.23,3,O:SPY240202C00480000,2024-02-02
2024-01-19 20:11:00,6.25,6.27,6.25,6.27,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:15:00,6.29,6.31,6.29,6.31,6,O:SPY240202C00480000,2024-02-02
2024-01-19 20:18:00,6.31,6.31,6.24,6.24,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:19:00,6.18,6.18,6.18,6.18,4,O:SPY240202C00480000,2024-02-02
2024-01-19 20:20:00,6.19,6.19,6.19,6.19,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:21:00,6.1,6.1,6.08,6.08,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:22:00,6.08,6.08,6.08,6.08,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:23:00,6.17,6.17,6.17,6.17,10,O:SPY240202C00480000,2024-02-02
2024-01-19 20:28:00,6.16,6.16,6.16,6.16,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:31:00,6.14,6.14,6.14,6.14,3,O:SPY240202C00480000,2024-02-02
2024-01-19 20:33:00,6.19,6.19,6.19,6.19,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:35:00,6.29,6.29,6.29,6.29,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:39:00,6.17,6.17,6.13,6.13,5,O:SPY240202C00480000,2024-02-02
2024-01-19 20:41:00,6.15,6.15,6.15,6.15,10,O:SPY240202C00480000,2024-02-02
2024-01-19 20:44:00,6.04,6.06,6.04,6.06,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:45:00,6.11,6.11,6.11,6.11,8,O:SPY240202C00480000,2024-02-02
2024-01-19 20:47:00,6.17,6.17,6.17,6.17,8,O:SPY240202C00480000,2024-02-02
2024-01-19 20:48:00,6.09,6.09,6.09,6.09,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:49:00,6.16,6.18,6.16,6.18,3,O:SPY240202C00480000,2024-02-02
2024-01-19 20:50:00,6.2,6.2,6.2,6.2,2,O:SPY240202C00480000,2024-02-02
2024-01-19 20:51:00,6.09,6.09,6.09,6.09,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:54:00,6.27,6.27,6.27,6.27,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:55:00,6.3,6.3,6.3,6.3,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:56:00,6.19,6.19,6.19,6.19,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:57:00,6.25,6.25,6.25,6.25,1,O:SPY240202C00480000,2024-02-02
2024-01-19 20:58:00,6.17,6.17,6.11,6.11,106,O:SPY240202C00480000,2024-02-02
2024-01-19 20:59:00,6.22,6.25,6.08,6.25,26,O:SPY240202C00480000,2024-02-02
2024-01-22 14:39:00,7.99,7.99,7.99,7.99,1,O:SPY240205C00480000,2024-02-05
2024-01-22 17:04:00,7.45,7.45,7.45,7.45,20,O:SPY240205C00480000,2024-02-05
2024-01-22 17:05:00,7.35,7.35,7.35,7.35,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:08:00,7.14,7.14,7.14,7.14,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:11:00,7.1,7.1,7.1,7.1,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:13:00,7.2,7.2,7.2,7.2,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:17:00,7.15,7.15,7.15,7.15,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:25:00,7.37,7.37,7.37,7.37,2,O:SPY240205C00480000,2024-02-05
2024-01-22 17:29:00,7.41,7.41,7.41,7.41,2,O:SPY240205C00480000,2024-02-05
2024-01-22 17:31:00,7.45,7.45,7.45,7.45,40,O:SPY240205C00480000,2024-02-05
2024-01-22 17:34:00,7.3,7.3,7.3,7.3,15,O:SPY240205C00480000,2024-02-05
